Ticker,Day,Predicted Return (%),Real Return (%),Predicted Volatility (%),Real Volatility Approx (%)
META,1,0.101,2.476,3.719,2.476
META,2,0.101,2.648,3.726,2.648
AMZN,1,0.052,3.289,3.22,3.289
AMZN,2,0.052,1.313,3.174,1.313
NFLX,1,0.13,4.505,2.76,4.505
NFLX,2,0.13,0.425,2.759,0.425
GOOGL,1,0.075,2.53,2.678,2.53
GOOGL,2,0.075,1.683,2.646,1.683
XOM,1,0.095,1.174,2.723,1.174
XOM,2,0.095,-0.055,2.723,0.055
CVX,1,0.061,1.749,3.05,1.749
CVX,2,0.061,-0.244,3.035,0.244
SHEL,1,0.074,0.837,2.936,0.837
SHEL,2,0.074,1.245,2.928,1.245
BP,1,0.042,1.399,3.18,1.399
BP,2,0.042,0.655,3.175,0.655
TTE,1,0.067,0.988,2.646,0.988
TTE,2,0.067,1.13,2.64,1.13
